id,name,genre,popularity
3qvcCP2J0fWi0m0uQDUf6r,Luan Santana,"arrocha,sertanejo,sertanejo-universitario",79
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"r&b,rap",86
3uwAm6vQy7kWPS2bciKWx9,girl in red,"bedroom-pop,indie-pop,norwegian-indie,pov:-indie",78
3wagsd3wjqjNVlMLPudipm,Rumi Carter,,43
3xs0LEzcPXtgNfMNcHzLIP,Rockwell,,68
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,"modern-country-pop,pop-rap",80
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,classic-oklahoma-country,91
42MRYPhQfcEXqb18dl5ERX,"Bobby ""Boris"" Pickett","halloween,novelty",67
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,"rock-and-roll,rockabilly",80
45dkTj5sMRSjrmBSBeiHym,Tate McRae,pop,85
46pWGuE3dSwY3bMMXGBvVS,Rema,"afrobeats,nigerian-pop",79
47mIJdHORyRerp4os813jD,League of Legends,"speedrun,video-game-music",79
47z98pKd71yIbgXwe9LPVC,Bernadya,,83
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,"adult-standards,easy-listening,lounge,vocal-jazz",72
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,"boy-band,pop,post-teen-pop,talent-show",91
4ClziihVpBeFXNyDH83Lde,UMI,"alternative-r&b,bedroom-soul",62
4E2rKHVDssGJm2SCDOMMJB,Doechii,alternative-r&b,76
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"pop,uk-pop",81
4Gso3d4CscCijv0lmajZWs,Don Toliver,rap,88
4LazDzEGshEUn9D2zbm6w2,The Citizens of Halloween,,67
4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,jersey-club,68
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire","disco,funk,jazz-funk,motown,soul",76
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,"classic-rock,mellow-gold,rock,soft-rock",73
4T8NIfZmVY6TJFqVzN6X49,tobi lou,"chicago-rap,indie-hip-hop,indie-r&b",57
4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,"bedroom-pop,pop,pov:-indie",80
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip-hop,rap",94
4ZdPHdArIbz2GSBXkozQYC,Los Esquivel,,62
4axKuDPr6WKcDCyh8vueTY,Luar La L,"trap-latino,urbano-latino",75
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,"adult-standards,easy-listening,lounge,rockabilly",65
4frDtYgwXXKkbyQzjOmJG5,The Crypt-Kickers,,67
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,social-media-pop,76
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"permanent-wave,pop",92
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,"dance-pop,pop,urban-contemporary",81
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi,,73
4jpqm8g4We93Uk6M9M4FDh,Reyna Roberts,black-americana,49
4lY2DXvRv9RPeFcUtn6PUh,HEARTSTEEL,,52
4nVa6XlBFlIkF6msW57PHp,Hanumankind,"desi-hip-hop,indian-underground-rap,malayalam-hip-hop",74
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary-country,91
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton,trap-latino,urbano-latino",95
4qDRNT8ldCfCjSp9lBzYC5,Joel De La P,corrido,69
4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,modern-folk-rock,74
4sj6D0zlMOl25nprDJBiU9,Andy Williams,"adult-standards,easy-listening",65
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"electro,filter-house,rock",82
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,alt-z,89
4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,k-pop,67
4x1nvY2FN8jxqAFA0DA02H,John Lennon,"classic-rock,rock",71
4xPQFgDA5M2xa0ZGo5iIsv,¥$,,78
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,"dance-pop,pop",75
50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl-hip-hop,atl-trap,gangster-rap,hip-hop,melodic-rap,rap,trap",86
52iwsT98xCoGgiGntTiR7K,Quevedo,"rap-canario,trap-latino,urbano-latino",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,"dance-pop,edm,electronic-trap,pop,pop-dance",79
54seKvtsZauR1iauN0ptpo,De La Rose,"trap-latino,urbano-latino",79
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip-hop,new-orleans-rap,pop-rap,rap,trap",88
5H4yInM5zmHqpKIoMNAx4r,Central Cee,"melodic-drill,r&drill",82
5HK6QtizXJzCmoYTkvFRik,Ndotz,chill-drill,74
5HeN1Iza4nZe03sFlonddz,Eugenio Esquivel,,62
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,"gangster-rap,hip-hop,pop-rap,rap,southern-hip-hop,trap",78
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago-rap,hip-hop,rap",93
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,"soft-rock,sophisti-pop",62
5KKpBU5eC2tJDzf0wmlRp2,RAYE,"uk-contemporary-r&b,uk-pop",79
5L1lO4eRHmJ7a0Q6csE5cT,LISA,k-pop,84
5MraexJKZDrQYzS98kNwie,Sevdaliza,"alternative-r&b,persian-electronic",77
5OCZWZ399lBKgxBxE8cjRM,Willie Jones,"black-americana,contemporary-country",48
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"piano-rock,pop",85
5VadK1havLhK1OpKYsXv9y,D-Block Europe,"melodic-drill,uk-hip-hop",76
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,"classic-country-pop,classic-texas-country,country,country-rock,nashville-sound,outlaw-country,singer-songwriter",73
5WUlDfRSoLAfcVSX1WnrxN,Sia,pop,85
5Wg72TowYBWIcSo3K2r84N,Nemo,,54
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop,84
5bppkTlu7F930pWlNn1b1g,Bhupinder Babbal,,53
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance-pop,pop",87
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,corrido,90
5f7VJjfbwm532GiveGC0ZK,Lil Baby,"atl-hip-hop,atl-trap,rap,trap",87
5fi7lIgJGH3RgUpJYcffQ7,4batz,,68
5ixB75BQR3ADoWQkcHQJTs,Gene Autry,"classic-oklahoma-country,cowboy-western,traditional-country,yodeling",56
5lpH0xAS4fVfLkACg9DAuM,Wham!,"new-romantic,new-wave,new-wave-pop,soft-rock",72
5p9HO3XC5P3BLxJs5Mtrhm,Djo,"pov:-indie,psychedelic-pop",76
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian-pop,pop,urban-contemporary",92
5v8jlSmAQfrkTjAlpUfWtu,Perry Como,"adult-standards,easy-listening",63
5vV3bFXnN6D6N3Nj4xRvaV,Jin,k-pop,81
5wCmhq5J2hPwL2r0eKurxn,cassö,"hypertechno,pop-dance",71
5wJ1H6ud777odtZl5gG507,Vishal Mishra,"desi-pop,filmi,modern-bollywood",78
5xKVALj2MSqOHmQhburCM8,Tanner Adell,modern-country-pop,56
64KEffDW9EtZ1y2vBYgq8T,Marshmello,"brostep,edm,pop,progressive-electro-house",84
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"dance-pop,pop",81
